locale,avg_pop_age,med_pop_age,avg_household_size,percent_dwelling_single_detached,percent_dwelling_apts,avg_total_individual_income,med_total_individual_income,avg_total_household_income,med_total_household_income,avg_total_employment_income,med_total_employment_income,percent_commute_drive,percent_commute_pool,percent_commute_transit,percent_commute_walk,percent_commute_bicycle,percent_commute_other,percent_commute_0_14,percent_commute_15_29,percent_commute_30_44,percent_commute_45_59,percent_commute_60_,percent_visible_minority,percent_south_asian,percent_chinese,percent_black,percent_filipino,percent_latin_american,percent_arab,percent_southeast_asian,percent_west_asian,percent_korean,percent_japanese,percent_vis_min_nie,percent_vis_min_mult,percent_not_vis_min,percent_home_owner,percent_home_renter,percent_suitable_housing,percent_unsuitable_housing,percent_under_30_percent_housing,percent_over_30_percent_housing,median_rent,average_rent,percent_no_diploma,percent_high_school_diploma,percent_post_secondary_diploma_degree,percent_trades_diploma,percent_bachelors_degree,percent_masters_degree,percent_doctorate_degree
Arbutus Ridge,44.6,46.2,2.4,0.3805601317957166,0.5675453047775947,83073,35590,124666,71008,77435,30075,0.6187624750499002,0.043912175648702596,0.23552894211576847,0.038922155688622756,0.04091816367265469,0.020958083832335328,0.18962075848303392,0.405189620758483,0.2934131736526946,0.0658682634730539,0.04491017964071856,0.5810945273631841,0.019237147595356552,0.46235489220563847,0.0029850746268656717,0.006965174129353234,0.004975124378109453,0.002321724709784411,0.006633499170812604,0.012603648424543947,0.03283582089552239,0.014593698175787729,0.0,0.01658374792703151,0.41890547263681593,0.6331699346405228,0.36764705882352944,0.9216326530612244,0.0783673469387755,0.5542763157894737,0.4457236842105263,1503,1688,0.11183454615090004,0.23898889314438912,0.6495595557257756,0.0248946763692072,0.2738414400612792,0.10340865568747606,0.02795863653772501
Downtown,40.6,37.1,1.7,0.00042802111570837496,0.9738907119417891,74738,48196,96632,66583,75188,54360,0.3038339142294287,0.021669949992423096,0.2124564327928474,0.4138505834217306,0.030913774814365812,0.017275344749204426,0.2836793453553569,0.40248522503409606,0.20518260342476133,0.06804061221397181,0.04076375208364904,0.4365335598980459,0.0443500424808836,0.16125743415463042,0.011129991503823279,0.018776550552251487,0.02693288020390824,0.014528462192013593,0.014868309260832626,0.06151231945624469,0.03865760407816483,0.024808836023789294,0.003058623619371283,0.01665250637213254,0.5634664401019541,0.4282051282051282,0.5717948717948718,0.9249394673123487,0.07506053268765134,0.5565242246677148,0.44347577533228527,1630,1589,0.04853838448228759,0.18422730170294144,0.7671432474273746,0.039249612967853564,0.3336672434204535,0.11802203806574993,0.020763136326381933
Dunbar Southlands,41.1,44.1,2.8,0.6232650363516193,0.3628552544613351,97207,49647,172768,104450,92082,40023,0.6261319534282018,0.04657179818887452,0.18822768434670117,0.054333764553686936,0.05886157826649418,0.02652005174644243,0.19016817593790428,0.4204398447606727,0.25485122897800777,0.07826649417852523,0.056921086675291076,0.3885365280714118,0.018792576932111817,0.30655391120507397,0.005637773079633545,0.007751937984496124,0.00822175240779892,0.002583979328165375,0.005402865867982147,0.003993422598073761,0.009161381254404511,0.011040638947615691,0.0011745360582569885,0.008456659619450317,0.6114634719285882,0.7799867461895295,0.21669980119284293,0.9748177601060305,0.025182239893969515,0.6746031746031746,0.3253968253968254,1604,1824,0.09134345137717818,0.2175379426644182,0.6913996627318718,0.027262507026419337,0.28695896571107365,0.12310286677908938,0.04581225407532322
Fairview,43.4,40.2,1.7,0.003581478639038117,0.9426963417753901,71075,52891,93652,69337,64908,51386,0.3821391484942887,0.020768431983385256,0.3008826583592939,0.1985981308411215,0.08255451713395638,0.015057113187954309,0.21423007011165932,0.4146974811737211,0.25447935601142563,0.07816151648922358,0.0384315762139704,0.2594346829640947,0.027043544690603515,0.11810542398777693,0.011611917494270435,0.01970970206264324,0.014820473644003056,0.0042780748663101605,0.0067226890756302525,0.012987012987012988,0.012834224598930482,0.017876241405653172,0.0024446142093200915,0.010847975553857907,0.7405653170359052,0.4189085318985396,0.5810914681014604,0.9479887266205483,0.0520112733794517,0.6661526599845798,0.3338473400154202,1261,1341,0.036514522821576766,0.17112033195020748,0.7923651452282158,0.03966804979253112,0.32398340248962654,0.13659751037344398,0.03236514522821577
Grandview-Woodland,40.2,38.1,1.9,0.08514190317195326,0.8550918196994992,46501,33964,72585,55141,48122,37309,0.4143160448892933,0.030937215650591446,0.3272672126175311,0.07764634516226873,0.13466787989080983,0.015165301789505611,0.14614918132201335,0.41206791995148573,0.27440873256519105,0.10036385688295937,0.06701030927835051,0.2801724137931034,0.018793103448275863,0.1339655172413793,0.017413793103448275,0.03017241379310345,0.015689655172413792,0.003103448275862069,0.023103448275862068,0.004482758620689655,0.004655172413793103,0.015172413793103448,0.0022413793103448275,0.011379310344827587,0.7198275862068966,0.3628200864649152,0.6371799135350849,0.9321357285429142,0.06786427145708583,0.649035262807718,0.3509647371922821,989,1041,0.140459193517268,0.23384140459193517,0.6256994018907969,0.058846228053251015,0.23345552768666794,0.09299633416939997,0.01620683002122323
Hastings-Sunrise,42.3,42.1,2.7,0.31443097379741886,0.6445052796245601,42461,30468,85430,68506,44358,33480,0.5674292594822397,0.049969897652016856,0.2850692354003612,0.04003612281757977,0.045454545454545456,0.011739915713425647,0.13279132791327913,0.36555254441433305,0.32038542607648296,0.10057211683227943,0.08130081300813008,0.5868386340319508,0.02638135717426352,0.3845815623625971,0.008500659533929356,0.04880551077238751,0.02154477502564854,0.002784698812838927,0.04763300600908691,0.00659533929356588,0.006155650007328155,0.01172504763300601,0.0030778250036640775,0.01919976549904734,0.41316136596804925,0.5905697445972495,0.40943025540275046,0.9296936370777691,0.07030636292223096,0.7011403853716084,0.29885961462839167,1002,1103,0.22900374022441347,0.30074804488269297,0.4700782046922815,0.06188371302278137,0.16269976198571914,0.042672560353621214,0.006630397823869432
Kensington-Cedar Cottage,40,38.8,2.7,0.17431449356463347,0.7660884163402351,42676,31877,86821,70815,45168,35173,0.49347360218195985,0.04831482563802844,0.3473602181959867,0.037599844145723746,0.061562439119423336,0.011689070718877849,0.10851353984024936,0.39742840444184685,0.32067017338788234,0.10831872199493474,0.06467952464445743,0.6367914876202169,0.06384284837323512,0.31839574381010843,0.010128913443830571,0.11765909555964804,0.015039901780233272,0.001534683855125844,0.06537753222836096,0.0031716799672600778,0.0052179251074278695,0.011663597298956415,0.0020462451401677922,0.022713321055862493,0.3632085123797831,0.5567356064840693,0.4435438792621576,0.8968697596422582,0.10313024035774175,0.6902828339400728,0.3097171660599272,1070,1163,0.20468955616700563,0.273836583323364,0.5217131235793755,0.05550903218088288,0.2020576623998086,0.0614906089245125,0.01040794353391554
Kerrisdale,42.9,45.6,2.5,0.5063291139240507,0.48010849909584086,96603,40578,159794,75419,83645,34318,0.6429319371727749,0.04397905759162304,0.2136125654450262,0.03769633507853403,0.04293193717277487,0.018848167539267015,0.16753926701570682,0.41256544502617803,0.29842931937172773,0.0806282722513089,0.041884816753926704,0.5847427132061893,0.028067650233897085,0.4638359121986326,0.0014393666786613889,0.01835192515293271,0.007556675062972292,0.0017992083483267362,0.0053976250449802084,0.007196833393306945,0.021590500179920834,0.013673983447283196,0.0007196833393306944,0.014033825116948543,0.41525728679381074,0.6642533936651583,0.33665158371040727,0.9448961156278229,0.05510388437217705,0.6063926940639269,0.39360730593607307,1286,1504,0.08913764510779436,0.2504145936981758,0.6608623548922057,0.026119402985074626,0.2802653399668325,0.11608623548922056,0.0203150912106136
Killarney,42.4,43.4,2.7,0.16416510318949343,0.5262664165103189,43904,34105,86302,71559,45820,37606,0.637855579868709,0.05105762217359591,0.26951130561633846,0.021152443471918306,0.01312910284463895,0.006929248723559446,0.0977032446226759,0.35982500911410864,0.33685745534086764,0.12249362012395187,0.08312067079839591,0.7151745592810231,0.0750086415485655,0.40338748703767713,0.015554787417905289,0.08745247148288973,0.02367784306947805,0.002938126512270999,0.034566194262011754,0.005876253024541998,0.02091254752851711,0.01538195644659523,0.002938126512270999,0.02782578638091946,0.28482544071897686,0.5977496483825597,0.4017815283638069,0.9310506566604128,0.06894934333958724,0.7300469483568075,0.2699530516431925,1078,1094,0.16433637284701114,0.2907801418439716,0.5446808510638298,0.05390070921985816,0.2099290780141844,0.04680851063829787,0.008105369807497468
Kitsilano,40.6,37.7,1.9,0.06032786885245902,0.8594535519125683,72653,48959,103076,72839,68708,47147,0.4295907660020986,0.024134312696747113,0.30388247639034627,0.11563483735571878,0.10786988457502623,0.01888772298006296,0.18488982161594963,0.41699895068205667,0.2675760755508919,0.080797481636936,0.04994753410283316,0.20058479532163742,0.025146198830409357,0.08456140350877193,0.00935672514619883,0.010526315789473684,0.016374269005847954,0.0029239766081871343,0.00631578947368421,0.008421052631578947,0.009122807017543859,0.0160233918128655,0.002105263157894737,0.009824561403508772,0.7994152046783626,0.4325854933565672,0.5674145066434328,0.9464052287581699,0.05359477124183006,0.6511475409836066,0.34885245901639345,1348,1472,0.05162548764629389,0.18166449934980494,0.7667100130039012,0.04317295188556567,0.3293888166449935,0.13667100130039012,0.03693107932379714
